symbol,eob,close
SHSE.512690,2021-04-28 00:00:00+08:00,2.696
SHSE.512690,2021-04-27 00:00:00+08:00,2.63
SHSE.512690,2021-04-26 00:00:00+08:00,2.583
SHSE.512690,2021-04-23 00:00:00+08:00,2.635
SHSE.512690,2021-04-22 00:00:00+08:00,2.607
SHSE.512690,2021-04-21 00:00:00+08:00,2.608
SHSE.512690,2021-04-20 00:00:00+08:00,2.546
SHSE.512690,2021-04-19 00:00:00+08:00,2.523
SHSE.512690,2021-04-16 00:00:00+08:00,2.494
SHSE.512690,2021-04-15 00:00:00+08:00,2.436
SHSE.512690,2021-04-14 00:00:00+08:00,2.451
SHSE.512690,2021-04-13 00:00:00+08:00,2.418
SHSE.512690,2021-04-12 00:00:00+08:00,2.382
SHSE.512690,2021-04-09 00:00:00+08:00,2.391
SHSE.512690,2021-04-08 00:00:00+08:00,2.452
SHSE.512690,2021-04-07 00:00:00+08:00,2.405
SHSE.512690,2021-04-06 00:00:00+08:00,2.511
SHSE.512690,2021-04-02 00:00:00+08:00,2.544
SHSE.512690,2021-04-01 00:00:00+08:00,2.434
SHSE.512690,2021-03-31 00:00:00+08:00,2.374
SHSE.512690,2021-03-30 00:00:00+08:00,2.411
SHSE.512690,2021-03-29 00:00:00+08:00,2.409
SHSE.512690,2021-03-26 00:00:00+08:00,2.354
SHSE.512690,2021-03-25 00:00:00+08:00,2.272
SHSE.512690,2021-03-24 00:00:00+08:00,2.288
SHSE.512690,2021-03-23 00:00:00+08:00,2.284
SHSE.512690,2021-03-22 00:00:00+08:00,2.273
SHSE.512690,2021-03-19 00:00:00+08:00,2.264
SHSE.512690,2021-03-18 00:00:00+08:00,2.318
SHSE.512690,2021-03-17 00:00:00+08:00,2.249
SHSE.512690,2021-03-16 00:00:00+08:00,2.218
SHSE.512690,2021-03-15 00:00:00+08:00,2.157
SHSE.512690,2021-03-12 00:00:00+08:00,2.269
SHSE.512690,2021-03-11 00:00:00+08:00,2.26
SHSE.512690,2021-03-10 00:00:00+08:00,2.173
SHSE.512690,2021-03-09 00:00:00+08:00,2.113
SHSE.512690,2021-03-08 00:00:00+08:00,2.174
SHSE.512690,2021-03-05 00:00:00+08:00,2.342
SHSE.512690,2021-03-04 00:00:00+08:00,2.31
SHSE.512690,2021-03-03 00:00:00+08:00,2.43
SHSE.512690,2021-03-02 00:00:00+08:00,2.378
SHSE.512690,2021-03-01 00:00:00+08:00,2.441
SHSE.512690,2021-02-26 00:00:00+08:00,2.433
SHSE.512690,2021-02-25 00:00:00+08:00,2.502
SHSE.512690,2021-02-24 00:00:00+08:00,2.552
SHSE.512690,2021-02-23 00:00:00+08:00,2.699
SHSE.512690,2021-02-22 00:00:00+08:00,2.698
